Customer,PartNum,City
Richard,P5,Vancouver
Vance,P3,Toronto
Richard,P3,Vancouver
Allison,P3,Toronto
Richard,P3,Calgary
Richard,P5,Vancouver
Richard,P2,Vancouver
Bob,P3,Montreal
Richard,P3,Calgary
Bob,P4,Montreal
Richard,P2,Vancouver
Bob,P3,Vancouver
Richard,P4,Vancouver
Vance,P5,Montreal
Vance,P3,Toronto
Bob,P3,Montreal
Richard,P4,Vancouver
Bob,P1,Vancouver
Bob,P3,Montreal
Allison,P3,Toronto
Richard,P3,Vancouver
Vance,P2,Calgary
Allison,P2,Calgary
Bob,P1,Vancouver
Richard,P2,Vancouver
Allison,P3,Calgary
Richard,P5,Vancouver
Allison,P3,Toronto
Richard,P2,Vancouver
Bob,P3,Vancouver
Bob,P1,Montreal
Bob,P5,Vancouver
Richard,P2,Vancouver
Bob,P3,Montreal
Richard,P2,Vancouver
Allison,P3,Toronto
Vance,P3,Toronto
Bob,P3,Vancouver
Allison,P3,Toronto
Richard,P3,Vancouver
Vance,P2,Calgary
Allison,P2,Toronto
Vance,P1,Calgary
Bob,P3,Montreal
Richard,P5,Vancouver
Vance,P1,Toronto
Allison,P4,Toronto
Richard,P5,Vancouver
Bob,P4,Montreal
Richard,P3,Vancouver
Vance,P5,Montreal
Richard,P3,Vancouver
Bob,P4,Montreal
Bob,P4,Montreal
Richard,P2,Vancouver
Vance,P5,Montreal
Vance,P1,Toronto
Richard,P3,Vancouver
Vance,P1,Calgary
Bob,P5,Montreal
Vance,P5,Toronto
Vance,P5,Toronto
Bob,P1,Montreal
Richard,P1,Calgary
Vance,P1,Toronto
Richard,P5,Vancouver
Richard,P2,Vancouver
Bob,P4,Montreal
Bob,P1,Vancouver
Vance,P3,Toronto
Bob,P5,Montreal
Richard,P2,Vancouver
Vance,P1,Toronto
Bob,P3,Montreal
Vance,P5,Montreal
Vance,P3,Toronto
Richard,P5,Vancouver
Allison,P2,Toronto
Richard,P1,Calgary
Richard,P5,Vancouver
Allison,P2,Calgary
Richard,P3,Vancouver
Bob,P3,Montreal
Richard,P2,Calgary
Allison,P4,Toronto
Vance,P3,Toronto
Richard,P2,Vancouver
Vance,P2,Calgary
Allison,P2,Toronto
Vance,P3,Toronto
Vance,P3,Calgary
Richard,P3,Vancouver
Bob,P3,Vancouver
Allison,P1,Toronto
Richard,P3,Vancouver
Vance,P3,Toronto
Bob,P3,Vancouver
Allison,P1,Toronto
Bob,P3,Montreal
Richard,P5,Vancouver
Vance,P2,Calgary
Bob,P5,Montreal
Vance,P1,Toronto
Bob,P4,Montreal
Richard,P2,Vancouver
Vance,P5,Montreal
Bob,P1,Montreal
Allison,P3,Toronto
Richard,P3,Calgary
Bob,P4,Montreal
Richard,P3,Calgary
