Customer,PartNum,City
Emilia,P1,Berlin
Emilia,P9,Munich
Hana,P7,Munich
Matteo,P4,Nuremberg
Clara,P1,Cologne
Hana,P6,Nuremberg
Emilia,P9,Cologne
Clara,P3,Nuremberg
Noah,P4,Hamburg
Matteo,P8,Leipzig
Elias,P2,Munich
Matteo,P8,Cologne
Hana,P9,Munich
Matteo,P5,Nuremberg
Noah,P7,Munich
Hana,P6,Munich
Hana,P6,Munich
Matteo,P6,Munich
Matteo,P8,Munich
Noah,P4,Hamburg
Noah,P8,Berlin
Emilia,P5,Munich
Hana,P9,Berlin
Matteo,P3,Munich
Hana,P3,Berlin
Helene,P4,Nuremberg
Clara,P7,Berlin
Helene,P4,Nuremberg
Emilia,P4,Munich
Hana,P1,Leipzig
Emilia,P1,Berlin
Elias,P5,Berlin
Hana,P1,Berlin
Clara,P5,Leipzig
Emilia,P6,Leipzig
Emilia,P4,Nuremberg
Clara,P7,Munich
Hana,P1,Cologne
Emilia,P3,Munich
Helene,P6,Munich
Clara,P5,Cologne
Noah,P1,Cologne
Emilia,P1,Cologne
Emilia,P6,Hamburg
Hana,P9,Berlin
Helene,P1,Leipzig
Hana,P7,Berlin
Noah,P6,Leipzig
Clara,P9,Cologne
Hana,P1,Berlin
Helene,P1,Nuremberg
Clara,P9,Leipzig
Elias,P3,Cologne
Matteo,P4,Nuremberg
Noah,P1,Berlin
Noah,P7,Hamburg
Noah,P1,Hamburg
Emilia,P3,Nuremberg
Emilia,P3,Cologne
Hana,P2,Nuremberg
Helene,P9,Berlin
Hana,P9,Munich
Hana,P9,Nuremberg
Emilia,P5,Cologne
Helene,P9,Nuremberg
Matteo,P9,Berlin
Elias,P5,Nuremberg
Emilia,P4,Berlin
Noah,P6,Cologne
Matteo,P7,Nuremberg
Matteo,P6,Nuremberg
Helene,P4,Cologne
Emilia,P7,Munich
Hana,P2,Munich
Emilia,P9,Berlin
Helene,P5,Munich
Helene,P4,Berlin
Noah,P2,Munich
Matteo,P4,Nuremberg
Elias,P1,Cologne
Elias,P6,Munich
Noah,P1,Berlin
Emilia,P6,Nuremberg
Emilia,P5,Berlin
Noah,P1,Cologne
Helene,P7,Hamburg
Clara,P9,Munich
Helene,P1,Berlin
Matteo,P7,Cologne
Emilia,P1,Nuremberg
Clara,P1,Cologne
Hana,P9,Nuremberg
Noah,P9,Cologne
Hana,P9,Cologne
Noah,P6,Nuremberg
Clara,P1,Berlin
Helene,P5,Hamburg
Hana,P8,Berlin
Elias,P1,Hamburg
Clara,P7,Munich
